fname,res_type,ptype,method,res
poland_czestochowa_2020_ostatni-grosz.pb,non exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_ostatni-grosz.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_ostatni-grosz.pb,non exhaustive,cardinal_times_cost,UGREEDY,stable priceable
poland_czestochowa_2020_podjasnogorska.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_podjasnogorska.pb,exhaustive,cardinal_standard,MES_INC,not exhaustive
poland_czestochowa_2020_podjasnogorska.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_podjasnogorska.pb,exhaustive,cardinal_standard,UGREEDY,not priceable
poland_czestochowa_2020_podjasnogorska.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_podjasnogorska.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_podjasnogorska.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_podjasnogorska.pb,non exhaustive,cardinal_standard,UGREEDY,not priceable
poland_czestochowa_2020_podjasnogorska.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_podjasnogorska.pb,exhaustive,cardinal_times_cost,MES_INC,not exhaustive
poland_czestochowa_2020_podjasnogorska.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_podjasnogorska.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_podjasnogorska.pb,non exhaustive,cardinal_times_cost,MES,priceable
poland_czestochowa_2020_podjasnogorska.pb,non exhaustive,cardinal_times_cost,MES_INC,priceable
poland_czestochowa_2020_podjasnogorska.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_podjasnogorska.pb,non exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_polnoc.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_polnoc.pb,exhaustive,cardinal_standard,MES_INC,not exhaustive
poland_czestochowa_2020_polnoc.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_polnoc.pb,exhaustive,cardinal_standard,UGREEDY,not priceable
poland_czestochowa_2020_polnoc.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_polnoc.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_polnoc.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_polnoc.pb,non exhaustive,cardinal_standard,UGREEDY,not priceable
poland_czestochowa_2020_polnoc.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_polnoc.pb,exhaustive,cardinal_times_cost,MES_INC,not exhaustive
poland_czestochowa_2020_polnoc.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
